实际电压(V),容量(Ah),能量(Wh)
3.1278,288.2701,930.4441
3.128,288.1362,930.0253
3.1282,288.0469,929.746
3.1285,287.9131,929.3274
3.1283,287.8238,929.048
3.1289,287.6899,928.6293
3.129,287.6006,928.3498
3.1291,287.4668,927.9312
3.1291,287.3775,927.6519
3.1292,287.2437,927.2332
3.1293,287.1545,926.954
3.1299,287.0206,926.535
3.1299,286.8867,926.1161
3.1303,286.7975,925.837
3.1304,286.6638,925.4183
3.1304,286.5746,925.1392
3.1308,286.4408,924.7203
3.1312,286.3515,924.441
3.1308,286.2178,924.0223
3.1313,286.1285,923.743
3.1311,285.9948,923.3242
3.1317,285.9056,923.0449
3.1315,285.7719,922.6262
3.1318,285.6818,922.3441
3.1324,285.548,921.9252
3.1321,285.4589,921.6462
3.1324,285.3252,921.2274
3.1329,285.2361,920.9482
3.1326,285.1024,920.5295
3.133,285.0132,920.2502
3.1333,284.8795,919.8315
3.1334,284.7904,919.5522
3.1334,284.6567,919.1332
3.1338,284.5231,918.7147
3.134,284.434,918.4355
3.1346,284.3004,918.0167
3.1346,284.2112,917.7373
3.135,284.0776,917.3185
3.1349,283.9885,917.0393
3.1354,283.8549,916.6204
3.1357,283.7658,916.3413
3.1357,283.6322,915.9225
3.1359,283.5432,915.6432
3.1361,283.4096,915.2245
3.1362,283.3206,914.9453
3.1366,283.1852,914.5209
3.1366,283.0951,914.2382
3.1372,282.9626,913.8228
3.1373,282.8736,913.5436
3.1373,282.7401,913.1248
3.1378,282.6512,912.8457
3.1378,282.5177,912.427
3.138,282.4287,912.1477
3.1381,282.2952,911.7289
3.1385,282.2061,911.4493
3.1387,282.0727,911.0307
3.139,281.9393,910.6119
3.139,281.8503,910.3327
3.1397,281.7167,909.9133
3.1394,281.628,909.6348
3.1401,281.4946,909.2162
3.1402,281.4056,908.9367
3.1405,281.2722,908.5179
3.1404,281.1832,908.2385
3.141,281.0499,907.8199
3.141,280.9611,907.5408
3.1415,280.8277,907.122
3.1413,280.7388,906.8428
3.1416,280.6055,906.424
3.1418,280.5166,906.1448
3.1424,280.3832,905.7258
3.1425,280.2944,905.4468
3.1427,280.1611,905.0278
3.1425,280.0723,904.7488
3.1427,279.939,904.3301
3.1434,279.8501,904.0508
3.1433,279.7168,903.6318
3.1436,279.5836,903.213
3.1442,279.4948,902.934
3.1441,279.3615,902.515
3.1443,279.2728,902.2361
3.1445,279.1396,901.8173
3.1445,279.0508,901.5379
3.1452,278.9176,901.1193
3.145,278.8288,900.8399
3.1454,278.6956,900.4211
3.1456,278.6068,900.1418
3.146,278.4736,899.723
3.1458,278.3848,899.4437
3.146,278.2517,899.0251
3.1464,278.163,898.746
3.1465,278.0298,898.3271
3.1472,277.9411,898.0478
3.1472,277.808,897.6291
3.1474,277.7192,897.3498
3.1472,277.5862,896.9311
3.1474,277.4974,896.6517
3.1475,277.3644,896.2331
3.1481,277.2313,895.8143
3.148,277.1426,895.5352
3.1483,277.0096,895.1163
3.1484,276.9201,894.8349
3.1487,276.7873,894.4168
3.1486,276.6986,894.1376
3.1488,276.5657,893.7189
3.149,276.477,893.4398
3.1497,276.344,893.0209
3.1494,276.2553,892.7416
3.1502,276.1223,892.323
3.1501,276.0337,892.0436
3.1506,275.9007,891.625
3.1502,275.812,891.3456
3.1506,275.6791,890.9269
3.1505,275.5905,890.6478
3.1509,275.4576,890.229
3.1513,275.3689,889.9496
3.1513,275.236,889.5309
3.1514,275.1474,889.2517
3.1518,275.0146,888.8332
3.1516,274.9259,888.5538
3.1518,274.7929,888.1347
3.152,274.6601,887.7162
3.1526,274.5715,887.437
3.1524,274.4386,887.018
3.1528,274.3498,886.738
3.1527,274.2172,886.3202
3.153,274.1286,886.0407
3.1533,273.9947,885.6186
3.1536,273.9072,885.3429
3.1536,273.7745,884.9244
3.1538,273.6859,884.645
3.1539,273.5531,884.2263
3.1546,273.4646,883.947
3.1542,273.3317,883.5281
3.1544,273.2433,883.249
3.1544,273.1104,882.8301
3.1547,273.0219,882.551
3.155,272.8892,882.1323
3.1552,272.8007,881.8531
3.1552,272.6679,881.4343
3.1555,272.5794,881.1549
3.1558,272.4467,880.7361
3.1561,272.314,880.3175
3.1561,272.2256,880.0385
3.1562,272.0927,879.6193
3.1568,272.0043,879.3401
3.1567,271.8716,878.9213
3.1567,271.7832,878.6425
3.1568,271.6505,878.2235
3.1572,271.5618,877.9437
3.1571,271.4291,877.5248
3.1575,271.3409,877.2462
3.1578,271.2083,876.8275
3.1579,271.1198,876.5483
3.1579,270.9871,876.1291
3.1583,270.8988,875.8503
3.1586,270.7661,875.4315
3.1583,270.6777,875.1523
3.1587,270.5451,874.7335
3.159,270.4567,874.4543
3.1588,270.3241,874.0355
3.1595,270.2358,873.7565
3.1591,270.1031,873.3375
3.16,269.9702,872.9173
