海辰280AhOCV-SOC电压,海辰280Ah0.5C放电电压,海辰280Ah0.04C放电电压,海辰280Ah0.5P放电电压,亿纬314Ah0.5P放电电压1,亿纬314Ah0.5P放电电压2,海辰280Ah模拟放电曲线
3.2764800000000003,3.1593,3.2469,3.1925,3.1926,3.1929,3.1925
3.2768200000000003,3.1594,3.2472,3.1928,3.193,3.193,3.1928
3.2771600000000003,3.1598,3.2476,3.193,3.1935,3.1933,3.193
3.2775000000000003,3.16,3.2479,3.1933,3.1938,3.1933,3.1933
3.27784,3.1603,3.2481,3.1936,3.1937,3.1936,3.1936
3.27818,3.1605,3.2485,3.1939,3.1939,3.1939,3.1939
3.27852,3.1607,3.2488,3.1941,3.1941,3.194,3.1941
3.27886,3.1609,3.249,3.1945,3.1949,3.1944,3.1945
3.2792,3.161,3.2495,3.1945,3.1943,3.1945,3.1945
3.27954,3.1614,3.2497,3.1948,3.1947,3.1946,3.1948
3.27988,3.1616,3.25,3.1951,3.1954,3.1953,3.1951
3.28022,3.1617,3.2504,3.1953,3.1956,3.1953,3.1953
3.28056,3.1619,3.2506,3.1956,3.1954,3.1954,3.1956
3.2809,3.1621,3.2509,3.1958,3.1958,3.1958,3.1958
3.28124,3.1624,3.2511,3.1961,3.196,3.1958,3.1961
3.28158,3.1626,3.2513,3.1962,3.1965,3.1963,3.1962
3.28192,3.1628,3.2516,3.1965,3.1964,3.1963,3.1965
3.28226,3.1631,3.252,3.1968,3.1966,3.1964,3.1968
3.2826,3.1631,3.2521,3.197,3.1968,3.1966,3.197
3.28294,3.1635,3.2525,3.1973,3.197,3.1974,3.1973
3.28328,3.1637,3.2527,3.1974,3.1972,3.1971,3.1974
3.28362,3.1638,3.253,3.1977,3.1976,3.1974,3.1977
3.28396,3.164,3.2532,3.1979,3.1978,3.1976,3.1979
3.2843,3.1642,3.2537,3.1981,3.198,3.1978,3.1981
3.28464,3.1644,3.2539,3.1983,3.1984,3.198,3.1983
3.28498,3.1647,3.2541,3.1986,3.1983,3.1984,3.1986
3.28532,3.1649,3.2544,3.1987,3.1986,3.1986,3.1987
3.28566,3.1651,3.2546,3.1989,3.1988,3.1987,3.1989
3.286,3.1654,3.2548,3.1992,3.1991,3.199,3.1992
3.28606,3.1654,3.2551,3.1994,3.199,3.1992,3.1994
3.28612,3.1658,3.2553,3.1997,3.199,3.1993,3.1997
3.28618,3.1659,3.2555,3.2,3.1999,3.1995,3.2
3.28624,3.1661,3.2558,3.2001,3.2001,3.1998,3.2001
3.2863,3.1663,3.256,3.2002,3.2002,3.2002,3.2002
3.28636,3.1665,3.2562,3.2004,3.2,3.2004,3.2004
3.28642,3.1668,3.2565,3.2008,3.2003,3.2001,3.2008
3.28648,3.1668,3.2567,3.201,3.2004,3.2004,3.201
3.28654,3.167,3.2569,3.2012,3.2005,3.2007,3.2012
3.2866,3.1673,3.2572,3.2014,3.201,3.2006,3.2014
3.28666,3.1675,3.2574,3.2015,3.2012,3.201,3.2015
3.28672,3.1677,3.2576,3.2018,3.2011,3.2012,3.2018
3.2867800000000003,3.1679,3.2578,3.2019,3.2019,3.2016,3.2019
3.28684,3.1681,3.2581,3.2022,3.2019,3.2015,3.2022
3.2869,3.1682,3.2583,3.2024,3.2022,3.2017,3.2024
3.28696,3.1684,3.2585,3.2025,3.2021,3.2019,3.2025
3.28702,3.1686,3.2588,3.2028,3.2023,3.2023,3.2028
3.28708,3.1689,3.259,3.203,3.2026,3.2024,3.203
3.28714,3.1691,3.2592,3.2032,3.203,3.2023,3.2032
3.2872,3.1693,3.2593,3.2034,3.2025,3.2026,3.2034
3.2872600000000003,3.1695,3.2595,3.2036,3.2031,3.2028,3.2036
